Species,Season,Organ,Fish weight (g),Fish length (cm),Al,As,Cd,Cr,Cu,Fe,Mn,Pb,Sb,Se,Sr,Zn
Oreochromis mossambicus,Summer,Liver,149.57,20.3,298.34,1.4807,0.8742,3.5867,432.91,1261,14.503,0.8226,0.1626,7.481,0.7701,72.195
Oreochromis mossambicus,Summer,Liver,119.85,18.1,245.37,,1.4131,,732.32,1314.8,23.148,4.084,0.5853,17.213,2.1098,99.404
Oreochromis mossambicus,Summer,Liver,139.33,19.9,237.57,3.8825,2.0186,,584.05,1498.8,26.201,2.1463,2.5697,29.836,2.5571,73.702
Oreochromis mossambicus,Summer,Liver,749.73,35.5,721.51,4.397,3.9979,0.7958,1045.4,3676,30.466,1.6432,1.4461,24.641,0.8957,73.003
Oreochromis mossambicus,Summer,Liver,648.8,33.5,387.25,0.7793,0.3203,,225.92,1099.5,9.8959,0.5223,0.1447,4.8986,0.3194,31.974
Oreochromis mossambicus,Summer,Liver,159.02,20.51,750.09,3.6914,0.836,,241.23,1274.4,20.732,1.4878,0.9471,,3.1499,80.74
Oreochromis mossambicus,Summer,Liver,159.02,20.31,398.54,0.6493,1.0058,,520.15,1787.3,14.61,1.0066,0.4736,8.9888,0.8344,82.295
Oreochromis mossambicus,Summer,Liver,153.5,24.5,264.2,,0.9156,2.0313,329.7,2989.6,15.235,,,,0.8503,67.073
Oreochromis mossambicus,Summer,Liver,158.43,20.1,747.12,,0.7387,,484.25,1333.5,11.521,,,17.621,0.9394,71.655
Oreochromis mossambicus,Summer,Liver,145.67,19.5,213.11,,1,,510.03,1211.1,32.787,,,42.289,1.5202,78.192
Oreochromis mossambicus,Summer,Gill,149.57,20.3,490,,0.0217,2.0006,2.4566,530.28,100.58,0.8959,,7.7732,127.11,65.149
Oreochromis mossambicus,Summer,Gill,119.85,18.1,666.93,,0.0139,1.5394,2.4652,678.17,140.87,1.3152,,0.2785,124.89,64.126
Oreochromis mossambicus,Summer,Gill,139.33,19.9,322.82,,,0.5926,2.1676,313.14,112.59,0.7872,,5.385,123.2,68.109
Oreochromis mossambicus,Summer,Gill,749.73,35.5,174.27,0.1447,0.0233,0.2566,1.4756,156.47,171.17,2.8679,,1.5732,265.33,69.417
Oreochromis mossambicus,Summer,Gill,648.8,33.5,244.86,,0.0178,1.3843,1.4832,260.84,64.735,0.6323,,4.2322,125.69,49.485
Oreochromis mossambicus,Summer,Gill,159.02,20.51,497.1,3.2486,0.0526,1.9832,2.6097,506.39,70.515,1.0489,0.2946,4.1219,99.834,64.582
Oreochromis mossambicus,Summer,Gill,159.02,20.31,163.68,1.4125,0.0126,0.9769,2.0585,165.05,63.158,1.159,0.1921,5.5768,142.54,58.742
Oreochromis mossambicus,Summer,Gill,153.5,24.5,136.19,2.3483,0.0172,0.9542,3.6149,139.43,79.048,0.5422,0.1842,8.0825,122.77,75.553
Oreochromis mossambicus,Summer,Gill,158.43,20.1,375.38,0.9175,0.0288,1.3975,4.7816,335.61,79.914,1.3152,0.1369,4.9945,149.07,68.465
Oreochromis mossambicus,Summer,Gill,145.67,19.5,324.74,0.7262,0.0104,1.6728,2.8891,296.11,105.11,1.2552,1.6223,1.5799,146.25,68.237
Oreochromis mossambicus,Summer,Muscle,149.57,20.3,13.292,0.1786,0.0075,0.4869,1.609,8.8947,16.49,,,,1.5331,17.988
Oreochromis mossambicus,Summer,Muscle,119.85,18.1,14.194,0.1451,,0.957,1.584,5.5978,14.394,,0.0087,0.0251,0.1899,28.537
Oreochromis mossambicus,Summer,Muscle,139.33,19.9,14.388,0.0826,,0.3666,1.862,1.5987,2.6978,,,,0.3339,26.893
